,Entries,Pronunciations,Generated Pron,Tones,Generated Tones,Absolutives,Generated Abs,Grammatical Info,Gloss
4745,qʼohṭʰo,qʼohṭʰo´,qʼohṭʰo´,,3,qʼohṭʰo,qʼohṭʰo,Noun,make slurping sound
4746,qʼosos,qʼosós,qʼosós,,3,qʼosos,qʼosos,Noun,gulp
4747,qʼoṭʰo·,qʼoṭʰo·´,qʼoṭʰo·´,,4,qʼoṭʰo·,qʼoṭʰo·,,
4748,qʼoṭʰo·lo,qʼoṭʰo·lo´,qʼoṭʰo·lo´,,4,qʼoṭʰo·lo,qʼoṭʰo·lo,Noun,better oneself
4749,qʼoʔo,qʼoʔo´,qʼoʔo´,,3,qʼoʔo,qʼoʔo,Noun,be tight fit
4750,*saha·c,sahaʔ´,sahaʔ´,,3,sahaʔ,sahaʔ,Verb,??
4751,*sahqacʼ,sáhqaʔ,sahqáʔ,0,1,sahqaʔ,sahqaʔ,Verb,stop (someone)
4752,sahwil,sahwíl,sahwíl,,3,sahwil,sahwil,Noun,be soot
4753,*sahwilad,,sahwilá·du,,3,,sahwila·du,Verb,give off moldy dust
4754,*sahwila·tad,,sahwilá·tadu,,3,,sahwila·tadu,,
4755,*sal,sálʔ,sálʔ,,0,salʔ,salʔ,Verb,greet
4756,sama,sama´,sama´,,3,sama,sama,Noun,carry on back
4757,saʔda,saʔda´,saʔda´,,3,saʔda,saʔda,Adjective,be spread out
4758,saʔtʼa,saʔtʼa´,saʔtʼa´,,3,saʔtʼa,saʔtʼa,Adjective,keep stinging
4759,*saʔtʼasaʔtʼam,,saʔtʼasáʔtʼamʔ,,3,,saʔtʼasaʔtʼamʔ,,
4760,*saʔtʼaʔtʼa,saʔtʼáʔtʼaw,saʔtʼáʔtʼaw,,3,saʔtʼaʔtʼaw,saʔtʼaʔtʼaw,Verb,stinging feeling
4761,*saʔya,saʔyáw,saʔyáw,,3,saʔyaw,saʔyaw,,
4762,sa·wana,sá·wana,sa·waná,1,1,sa·wana,sa·wana,Noun,hiccough
4763,seʔde,seʔde´,seʔde´,,3,seʔde,seʔde,Adjective,undercut by water
4764,seʔpʼeṭʼmo,seʔpʼéṭʼmo,seʔpʼéṭʼmo,,3,seʔpʼeṭʼmo,seʔpʼeṭʼmo,Noun,"cut out pattern in fabric, slice open (meat) with something very sharp"
4765,*siba·l,sibalʔ´,sibalʔ´,,3,sibalʔ,sibalʔ,Verb,grope with tongue
4766,*sibetad,sibetá·du,sibetá·du,,3,sibeta·du,sibeta·du,Verb,feel with tongue
4767,sibo se·ntu,sibosé·ntu,sibo séntu,,3,sibose·ntu,sibo sentu,Numeral,lick out hollow
4768,*sibo·la,sibo·láw,sibo·láw,,4,sibo·law,sibo·law,Verb of Movement,be held by suction
4769,*sicet,sicéʔ,sicéʔ,,3,siceʔ,siceʔ,,
4770,*sicola·tad,sicolá·tadu,sicolá·tadu,,3,sicola·tadu,sicola·tadu,,
4771,*sicola·tam,,sicolá·tamʔ,,3,,sicola·tamʔ,,
4772,*sicot,sicóʔ,sicóʔ,,3,sicoʔ,sicoʔ,,
4773,*sico·l,sicolʔ´,sicolʔ´,,3,sicolʔ,sicolʔ,Verb,become smelly when wet
4774,*sico·lam,,sico·lámʔ,,4,,sico·lamʔ,Verb,get spoiled and wet
4775,*sicʰat,sicʰáʔ,sicʰáʔ,,3,sicʰaʔ,sicʰaʔ,,
4776,*sicʰat,sicʰáʔ,sicʰáʔ,,3,sicʰaʔ,sicʰaʔ,,
4777,*sicʰa·,sicʰaw´,sicʰaw´,,3,sicʰaw,sicʰaw,Verb,grasp with tongue
4778,*sicʰi,sicʰíw,sicʰíw,,3,sicʰiw,sicʰiw,Verb,to chap from water
4779,*sicʰiṭ,sicʰíʔ,sicʰíʔ,,3,sicʰiʔ,sicʰiʔ,,
4780,*sicʰi·ṭ,sicʰiʔ´,sicʰiʔ´,,3,sicʰiʔ,sicʰiʔ,Verb,suck food out from between teeth
4781,*sicʰulma,,sicʰúlmaw,,3,,sicʰulmaw,,
4782,*sicʰulʔta,sicʰúlʔtaw,sicʰúlʔtaw,,3,sicʰulʔtaw,sicʰulʔtaw,,
4783,*sicʼahni,sicʼáhn,sicʼáhniw,,2,sicʼahn,sicʼahniw,,
4784,*sicʼal,sicʼálʔ,sicʼálʔ,,3,sicʼalʔ,sicʼalʔ,Verb,stuck papers separate in water
4785,*sicʼalta,sicʼáltaw,sicʼáltaw,,3,sicʼaltaw,sicʼaltaw,,
4786,*sicʼa·ṭ,sicʼaʔ´,sicʼaʔ´,,3,sicʼaʔ,sicʼaʔ,Verb,taste green and sour
4787,*sicʼesicʼe,sicʼesícʼew,sicʼesícʼew,,3,sicʼesicʼew,sicʼesicʼew,Reduplicating Verb,take one quick sip after another
4788,*sicʼihṭi,sicʼíhṭiw,sicʼíhṭiw,,3,sicʼihṭiw,sicʼihṭiw,,
4789,*sicʼi·ṭ,sicʼiʔ´,sicʼiʔ´,,3,sicʼiʔ,sicʼiʔ,Verb,transform by water
4790,*sicʼo·m,sicʼomʔ´,sicʼomʔ´,,3,sicʼomʔ,sicʼomʔ,Verb,wet in two
4791,*sicʼu·,sicʼuw´,sicʼuw´,,3,sicʼuw,sicʼuw,Verb,break with water
4792,*sidahcʰihqa,sidáhcʰihqaw,sidáhcʰihqaw,,3,sidahcʰihqaw,sidahcʰihqaw,Verb,push with water
4793,*sida·la,sida·láw,sida·láw,,4,sida·law,sida·law,Verb of Movement,obstruct water
4794,*sihco,sihców,sihców,,3,sihcow,sihcow,Verb,get wet
4795,*sihcʰahcʰa,sihcʰáhcʰaw,sihcʰáhcʰaw,,3,sihcʰahcʰaʔ,sihcʰahcʰaw,Reduplicating Verb,soften by water
4796,*sihcʰasicʰatad,sihcʰasícʰata·du,sihcʰasícʰata·du,,3,sihcʰasihcʰaw,sihcʰasicʰata·du,,
4797,*sihcʰe,sihcʰéw,sihcʰéw,,3,sihcʰew,sihcʰew,Verb,act in many places with water
4798,*sihcʰi,sihcʰíw,sihcʰíw,,3,sihcʰiw,sihcʰiw,Verb,be kissed too much
4799,*sihcʰohcʰoc,sihcʰóhcʰoʔ,sihcʰóhcʰoʔ,,3,sihcʰohcʰoʔ,sihcʰohcʰoʔ,Reduplicating Verb,wear out by water
4800,*sihcʰosihcʰoc,sihcʰosíhcʰoʔ,sihcʰosíhcʰoʔ,,3,sihcʰosihcʰoʔ,sihcʰosihcʰoʔ,Reduplicating Verb,wear out by water
4801,*sihcʰot,sihcʰóʔ,sihcʰóʔ,,3,sihcʰoʔ,sihcʰoʔ,Verb,"be too full to finish drinking, etc."
4802,*sihcʰuhcʰu,sihcʰúhcʰuw,sihcʰúhcʰuw,,3,sihcʰuhcʰuw,sihcʰuhcʰuw,Reduplicating Verb,crumble by water
4803,*sihkela·tad,sihkelá·tadu,sihkelá·tadu,,3,sihkela·tadu,sihkela·tadu,,
4804,*sihkelh,sihkélʔ,sihkélʔ,,3,sihkelʔ,sihkelʔ,Verb,"hang loose, wobble"
4805,*sihkosihko,sihkosíhkow,sihkosíhkow,,3,sihkosihkow,sihkosihkow,Reduplicating Verb,soap or ice to disappear by sitting in water
4806,*sihkʰahkʰa,sihkʰáhkʰaw,sihkʰáhkʰaw,,3,sihkʰahkʰaw,sihkʰahkʰaw,Reduplicating Verb,move with tongue
4807,*sihkʰeyi·tacʼ,,sihkʰeyí·taʔ,,3,,sihkʰeyi·taʔ,,
4808,*sihkʰeyʔcicʼ,sihkʰéyʔciʔ,sihkʰéyʔciʔ,,3,sihkʰeyʔciʔ,sihkʰeyʔciʔ,Verb,choke
4809,*sihkʰiṭʼ,sihkʰíʔ,sihkʰíʔ,,3,sihkʰiʔ sihkiʔ,sihkʰiʔ,Verb,cut by water
4810,*sihlabat,sihlabáʔ,sihlabáʔ,,3,sihlabaʔ,sihlabaʔ,,
4811,*sihlakʼat,sihlakʼáʔ,sihlakʼáʔ,,3,sihlakʼaʔ,sihlakʼaʔ,Verb,be flat
4812,sihlayya,sihláyya,sihláyya,,3,sihlayya,sihlayya,Noun,go with flat-face
4813,*sihlihlic,sihlíhliciw,sihlíhliʔ,,2,sihlihliciw,sihlihliʔ,Reduplicating Verb,erode bank of river or road
4814,*sihlo,sihlów,sihlów,,3,sihlow,sihlow,Verb,wash off
4815,*sihlokʼ,sihlóʔ,sihlóʔ,,3,sihloʔ,sihloʔ,Verb,bend by wetting
4816,*sihmohmo,sihmóhmow,sihmóhmow,,3,sihmohmow,sihmohmow,Verb,break up with water
4817,sihmut,sihmúʔ,sihmúʔ,,3,sihmuʔ,sihmuʔ,Noun,not drink completely
4818,*sihnat,sihnáʔ,sihnáʔ,,3,sihnaʔ,sihnaʔ,Verb,feel for something with tongue
4819,*siholma,sihólmaw,sihólmaw,,3,siholmaw,siholmaw,,
4820,*sihpahpa,sihpáhpaw,sihpáhpaw,,3,sihpahpaw,sihpahpaw,Reduplicating Verb,compress with water
4821,*sihpitʼci,sihpítʼ,sihpítʼciw,,2,sihpitʼ,sihpitʼciw,,
4822,*sihpolpolo,sihpólpolow,sihpólpolow,,3,sihpolpolow,sihpolpolow,Verb,make holes with water
4823,*sihpʰaqʼ,sihpʰáqʼciw,sihpʰáʔ,,2,sihpʰaqʼciw,sihpʰaʔ,Verb,sag inward by water
4824,*sihpʰitʼci,sihpʰítʼciw,sihpʰítʼciw,,3,sihpʰiʔ,sihpʰitʼciw,Verb,tear by water
4825,*sihpʰitʼpʰitʼiwa·d,sihpʰítʼpʰitʼiwa·du,sihpʰítʼpʰitʼiwa·du,,3,sihpʰitʼpʰitʼiwa·du,sihpʰitʼpʰitʼiwa·du,,
4826,sihpʰu,sihpʰu´,sihpʰu´,,3,sihpʰu,sihpʰu,Adjective,sink into water or mud
4827,*sihpʰuṭay,sihpʰuṭáyʔ,sihpʰuṭáyʔ,,3,sihpʰuṭayʔ,sihpʰuṭayʔ,Verb,be unable to finish drinking
4828,*sihqa,sihqáw,sihqáw,,3,sihqaw,sihqaw,Verb,be used to drinking
4829,sihqal,sihqál,sihqál,,3,sihqal,sihqal,Adjective,taste bland
4830,*sihqalh,sihqálʔ,sihqálʔ,,3,sihqalʔ,sihqalʔ,Verb,barely taste what is drunk
4831,*sihqʰalh,sihqʰálʔ,sihqʰálʔ,,3,sihqʰalʔ,sihqʰalʔ,Verb,breath noisily
4832,*sihqʰasihqʰa,sihqʰasíhqʰaw,sihqʰasíhqʰaw,,3,sihqʰasihqʰaw,sihqʰasihqʰaw,Reduplicating Verb,"rub, slide in water"
4833,*sihqʰasihqʰa,sihqʰasíhqʰaw,sihqʰasíhqʰaw,,3,sihqʰasihqʰaw,sihqʰasihqʰaw,Reduplicating Verb,barely to taste what is drunk
4834,*sihqʰasiqʰata·d,sihqʰasíqʰata·du,sihqʰasíqʰata·du,,3,sihqʰasiqʰata·du,sihqʰasiqʰata·du,,
4835,*sihqʰaṭ,sihqʰáʔ,sihqʰáʔ,,3,sihqʰaʔ,sihqʰaʔ,Verb,tear by getting wet
4836,*sihqʰayʔma,sihqʰáyʔmaw,sihqʰáyʔmaw,,3,sihqʰayʔmaw,sihqʰayʔmaw,Verb,slide across on something wet and slick
4837,*sihqʰohqʰo,sihqʰóhqʰow,sihqʰóhqʰow,,3,sihqʰohqʰow,sihqʰohqʰow,Reduplicating Verb,liquid to soak through
4838,*sihqʰosihqʰo,,sihqʰosíhqʰow,,3,,sihqʰosihqʰow,,
4839,*sihsa,sihsáw,sihsáw,,3,sihsaw,sihsaw,Verb,get sliver in tongue
4840,*sihsimqa,sihsímqaw,sihsímqaw,,3,sihsimʔ,sihsimqaw,Verb,extinguish with water
4841,*sihsokʼot,sihsokʼóʔ,sihsokʼóʔ,,3,sihsokʼoʔ,sihsokʼoʔ,Verb,spurt with wetting
4842,*sihsom,,sihsómʔ,,3,,sihsomʔ,Verb,mess up with water ?
4843,*sihsoṭ,sihsóʔ,sihsóʔ,,3,sihsoʔ,sihsoʔ,Verb,come loose by water
4844,*sihta,sihtáw,sihtáw,,3,sihtaw,sihtaw,Verb,liquid diffuse
4845,*sihtahta,sihtáhtaw,sihtáhtaw,,3,sihtahtaw,sihtahtaw,Verb,"tap, hit lightly with water"
4846,*sihtasitat,,sihtasítaʔ,,3,,sihtasitaʔ,,
4847,*sihtay,sihtáyʔ,sihtáyʔ,,3,sihtayʔ,sihtayʔ,Verb,taste
4848,*sihtenh,sihténʔ,sihténʔ,,3,sihtenʔ,sihtenʔ,Verb,be soaking wet
4849,sihṭa,sihṭa´,sihṭa´,,3,sihṭa,sihṭa,Noun,wash out inside
4850,*sihṭʰa,sihṭʰáw,sihṭʰáw,,3,sihṭʰaw,sihṭʰaw,Verb,tear open with water
4851,sihṭʰe,sihṭʰe´,sihṭʰe´,,3,sihṭʰew,sihṭʰe,Adjective,spread out
4852,*sihṭʰihṭʰi,sihṭʰíhṭʰiw,sihṭʰíhṭʰiw,,3,sihṭʰihṭʰiw,sihṭʰihṭʰiw,Reduplicating Verb,overdo by wetting
4853,*sihṭʰinh,sihṭʰínʔ,sihṭʰínʔ,,3,sihṭʰinʔ,sihṭʰinʔ,Verb,wear through with water
4854,*sihṭʰolhma,sihṭʰólhmaw,sihṭʰólhmaw,,3,sihṭʰolhmaw,sihṭʰolhmaw,Verb,(water) penetrate
4855,*sihṭʰuhṭʰu,sihṭʰúhṭʰuw,sihṭʰúhṭʰuw,,3,sihṭʰuhṭʰuw,sihṭʰuhṭʰuw,Verb,lick or rain to wash mud off board
4856,*sihwatʼ,sihwáʔ,sihwáʔ,,3,sihwaʔ,sihwaʔ,Verb,vibrate easily
4857,*sihwel,sihwélʔ,sihwélʔ,,3,sihwelʔ,sihwelʔ,Verb,drink incessantly
4858,*sihwe·n,sihwenʔ´,sihwenʔ´,,3,sihwenʔ,sihwenʔ,Verb,select and lick
4859,sihyaš,sihyáš,sihyáš,,3,sihyaš,sihyaš,Adjective,be thin
4860,*sihye·,sihyew´,sihyew´,,3,sihyew,sihyew,Verb,stop drinking
4861,*sihyol,sihyólʔ,sihyólʔ,,3,sihyolʔ,sihyolʔ,Verb,get wet and spill
4862,*sihyo·c,sihyoʔ´,sihyoʔ´,,3,sihyoʔ,sihyoʔ,Verb,remove edge by licking
4863,*sikilqa,sikílqaw,sikílqaw,,3,sikilqaw,sikilqaw,Verb,fan air to move it
4864,*siki·l,sikilʔ´,sikilʔ´,,3,sikilʔ,sikilʔ,Verb,stretch over surface from water
4865,*sikolcicʼ,,sikólciʔ,,3,,sikolciʔ,Verb,suck through straw
4866,siko·,siko·´,siko·´,,4,siko·,siko·,Adjective,drunk
4867,*sikʰehtad,sikʰétadu,sikʰéhtadu,,2,sikʰehtadu,sikʰehtadu,,
4868,*sikʰelcicʼ,sikʰélciʔ,sikʰélciʔ,,3,sikʰelciʔ,sikʰelciʔ,Verb,disappear
4869,*sikʰeyʔtacʼ,sikʰéyʔtaʔ,sikʰéyʔtaʔ,,3,sikʰeyʔtaʔ,sikʰeyʔtaʔ,,
4870,*sikʰe·d,sikʰe·du´,sikʰe·du´,,4,sikʰe·du,sikʰe·du,Verb,stretch by sucking
4871,*sikʰiṭʼkʰiʔṭʼi,,sikʰíṭʼkʰiʔṭʼiw,,3,,sikʰiṭʼkʰiʔṭʼiw,,
4872,sikʰoloʔlo,sikʰolóʔlo,sikʰolóʔlo,,3,sikʰoloʔlo,sikʰoloʔlo,Noun,feel rough in liquid
4873,*sikʼahni,sikʼáhniw,sikʼáhniw,,3,sikʼahniw,sikʼahniw,,
4874,*sikʼahni,sikʼáhniw,sikʼáhniw,,3,sikʼahniw,sikʼahniw,,
4875,*sikʼal,sikʼálʔ,sikʼálʔ,,3,sikʼalʔ,sikʼalʔ,Verb,light go off
4876,*sikʼalci,sikʼálciw,sikʼálciw,,3,sikʼalciw,sikʼalciw,Verb,fire to die down
4877,*sikʼalcihqa,sikʼálcihqaw,sikʼálcihqaw,,3,sikʼalcihqaw,sikʼalcihqaw,Verb,let fire die down
4878,*sikʼalicʼ,sikʼalíʔ,sikʼalíʔ,,3,sikʼaliʔ,sikʼaliʔ,Verb,split open from being ripe
4879,*sikʼaṭʰi·ta,sikʼaṭʰí·taw,sikʼaṭʰí·taw,,3,sikʼaṭʰi·taw,sikʼaṭʰi·taw,,
4880,*sikʼa·n,sikʼanʔ´,sikʼanʔ´,,3,sikʼanʔ,sikʼanʔ,Verb,tilt by water
4881,*sikʼit,sikʼíʔ,sikʼíʔ,,3,sikʼiʔ,sikʼiʔ,,
4882,*sikʼi·,sikʼiw´,sikʼiw´,,3,sikʼiw,sikʼiw,Verb,feel dizzy
4883,*sikʼuyʔsikʼuy,sikʼúyʔsikʼuyʔ,sikʼúyʔsikʼuyʔ,,3,sikʼuyʔsikʼuyʔ,sikʼuyʔsikʼuyʔ,,
4884,*silac,siláʔ,siláʔ,,3,silaʔ,silaʔ,Verb,face this way
4885,sili,sili´,sili´,,3,sili,sili,Noun,roost
4886,*simataq,simatáʔ,simatáʔ,,3,simataʔ,simataʔ,,
4887,*simatʰma,simátʰmaw,simátʰmaw,,3,simatʰmaw,simatʰmaw,,
4888,*sima·q,simaʔ´,simaʔ´,,3,simaʔ,simaʔ,Verb,sleep
4889,sime,sime´,sime´,,3,sime,sime,Noun,easily
4890,*sine·ma,sine·máw,sine·máw,,4,sine·maw,sine·maw,Verb,become easy to get
4891,*sinhcicʼ,,sínhciʔ,,0,,sinhciʔ,,
4892,*sipahṭi,sipáhṭiw,sipáhṭiw,,3,sipahṭiw,sipahṭiw,,
4893,*sipahṭi,sipáhṭiw,sipáhṭiw,,3,sipahṭiw,sipahṭiw,,
4894,sipaṭ,sípaʔ,sipáʔ,1,1,sipaʔ,sipaʔ,Adjective,stick patch on
4895,*sipem,sipémʔ,sipémʔ,,3,sipemʔ,sipemʔ,Verb,particles settle in liquid
4896,*siqʰal,siqʰálʔ,siqʰálʔ,,3,siqʰalʔ,siqʰalʔ,Verb,rain to knock off
4897,*siqʰa·,siqʰaw´,siqʰaw´,,3,siqʰaw,siqʰaw,Verb,get cut in tongue
4898,*siqʰa·ṭ,siqʰaʔ´,siqʰaʔ´,,3,siqʰaʔ,siqʰaʔ,Verb,suck in once
4899,*siqʰolicʼ,siqʰolíʔ,siqʰolíʔ,,3,siqʰoliʔ,siqʰoliʔ,Verb,suck in
4900,*siqʰolmacʼ,siqʰólmaʔ,siqʰólmaʔ,,3,siqʰolmaʔ,siqʰolmaʔ,Verb,suck in
4901,*siqʰolta,siqʰóltaw,siqʰóltaw,,3,siqʰoltaw,siqʰoltaw,,
4902,*siqʰoltacʼ,siqʰóltaʔ,siqʰóltaʔ,,3,siqʰoltaʔ,siqʰoltaʔ,,
4903,*siqʰo·ṭ,siqʰoʔ´,siqʰoʔ´,,3,siqʰoʔ,siqʰoʔ,Verb,not want destroyed
4904,*sisohṭi,sisóhṭiw,sisóhṭiw,,3,sisohṭiw,sisohṭiw,,
4905,*sisokʼot,sisokʼótʔ,sisokʼóʔ,,3,sisokʼotʔ,sisokʼoʔ,,
4906,*siso·l,sisolʔ´,sisolʔ´,,3,sisolʔ,sisolʔ,Verb,break with water
4907,*sisʼa·l,sisʼalʔ´,sisʼalʔ´,,3,sisʼalʔ,sisʼalʔ,Verb,suck out
4908,*sisʼuhli,sisʼúhliw,sisʼúhliw,,3,sisʼuhliw,sisʼuhliw,,
4909,*sisʼul,sisʼúlʔ,sisʼúlʔ,,3,sisʼulʔ,sisʼulʔ,Verb,make smooth and shiny by water
4910,*sisʼuy,sisʼúyʔ,sisʼúyʔ,,3,sisʼuyʔ,sisʼuyʔ,Verb,get pointed from water
4911,*sisʼu·l,sisʼulʔ´,sisʼulʔ´,,3,sisʼulʔ,sisʼulʔ,Verb,taste unfamiliar
4912,*sišuda·tad,sišudá·tadu,sišudá·tadu,,3,sišuda·tadu,sišuda·tadu,,
4913,*sitaš,sitáš,sitáš,,3,sitaš,sitaš,Verb,get soft and mushy from water
4914,*sitayʔta,sihtáyʔtaw,sitáyʔtaw,,2,sihtayʔtaw,sitayʔtaw,,
4915,*sitehyi,sitéhyiw,sitéhyiw,,3,sitehyiw,sitehyiw,,
4916,*situl,sitúlʔ,sitúlʔ,,3,situlʔ,situlʔ,Verb,straighten in water
4917,*situ·t,situʔ´,situʔ´,,3,situʔ,situʔ,Verb,stagger
4918,*sitʼehyi,sitʼéhyiw,sitʼéhyiw,,3,,sitʼehyiw,,
4919,*sitʼe·l,,sitʼelʔ´,,3,,sitʼelʔ,Verb,liquid spread
4920,*sitʼuhli,sitʼúhliw,sitʼúhliw,,3,sitʼuhliw,sitʼuhliw,,
4921,*sitʼul,sitʼúlʔ,sitʼúlʔ,,3,siw,sitʼulʔ,Verb,?
4922,*siṭʼo·,siṭʼow´,siṭʼow´,,3,siṭʼow,siṭʼow,Verb,"do to self, make self up"
4923,*siyolaq,siyoláʔ,siyoláʔ,,3,siyolaʔ,siyolaʔ,,
4924,*siyoṭ,,siyóʔ,,3,siyoʔ,siyoʔ,Verb,cool off
4925,*siʔba,siʔbáw,siʔbáw,,3,siʔbaw,siʔbaw,Verb,quench
4926,siʔbal,siʔbál,siʔbál,,3,siʔbal,siʔbal,Adverb,turn disease with tongue
4927,siʔbaluw,siʔbalúw,siʔbalúw,,3,siʔbaluw,siʔbaluw,Adverb,soften and disintegrate
4928,*siʔcʼaba,siʔcʼabáw,siʔcʼabáw,,3,siʔcʼabaw,siʔcʼabaw,Verb,stick
4929,*siʔcʼet,siʔcʼéʔ,siʔcʼéʔ,,3,siʔcʼeʔ,siʔcʼeʔ,Verb,detach by water
4930,*siʔcʼoqʰot,siʔcʼoqʰóʔ,siʔcʼoqʰóʔ,,3,siʔcʼoqʰoʔ,siʔcʼoqʰoʔ,Verb,suck off
4931,*siʔcʼowad,siʔcʼowá·du,siʔcʼowá·du,,3,siʔcʼowa·du,siʔcʼowa·du,,
4932,*siʔcʼoʔcʼo,siʔcʼóʔcʼow,siʔcʼóʔcʼow,,3,siʔcʼoʔcʼow,siʔcʼoʔcʼow,Reduplicating Verb,cut around edges with scissors
4933,*siʔcʼuʔcʼu,siʔcʼúʔcʼuw,siʔcʼúʔcʼuw,,3,siʔcʼuʔcʼuw,siʔcʼuʔcʼuw,Reduplicating Verb,break into pieces with water
4934,*siʔdi,siʔdíw,siʔdíw,,3,siʔdiw,siʔdiw,Verb of Movement,get splinter in tongue
4935,*siʔdic,siʔdíʔ,siʔdíʔ,,3,siʔdiʔ,siʔdiʔ,Verb of Movement,diffuse by water
4936,*siʔduwa·la,siʔduwá·law,siʔduwá·law,,3,siʔduwa·law,siʔduwa·law,Verb,soak up through
4937,*siʔkʼa,siʔkʼáw,siʔkʼáw,,3,siʔkʼaw,siʔkʼaw,Verb,crack by water
4938,*siʔkʼahci,siʔkʼáhciw,siʔkʼáhciw,,3,siʔkʼahciw,siʔkʼahciw,,
4939,*siʔkʼanh,siʔkʼánʔ,siʔkʼánʔ,,3,siʔkʼanʔ,siʔkʼanʔ,Verb,lean by water
4940,*siʔkʼayʔci,siʔkʼáyʔciw,siʔkʼáyʔciw,,3,siʔkʼayʔciw,siʔkʼayʔciw,Verb,float around and get stuck in
4941,*siʔkʼisikʼitad,siʔkʼisíkʼita·du,siʔkʼisíkʼita·du,,3,siʔkʼisikʼita·du,siʔkʼisikʼita·du,,
4942,*siʔkʼisiʔkʼi,siʔkʼisíʔkʼiw,siʔkʼisíʔkʼiw,,3,siʔkʼisiʔkʼiw,siʔkʼisiʔkʼiw,Reduplicating Verb,giggle
4943,*siʔkʼisiʔkʼim,,siʔkʼisíʔkʼimʔ,,3,siʔkʼisiʔkʼim,siʔkʼisiʔkʼimʔ,,
4944,*siʔkʼiʔkʼi,siʔkʼíʔkʼiw,siʔkʼíʔkʼiw,,3,siʔkʼiʔkʼiw,siʔkʼiʔkʼiw,Verb,nearly erode through with water
4945,*siʔkʼo,siʔkʼów,siʔkʼów,,3,siʔkʼow,siʔkʼow,Verb,be struck by liquid
4946,*siʔkʼoyad,siʔkʼoyá·du,siʔkʼoyá·du,,3,siʔkʼoya·du,siʔkʼoya·du,,
4947,*siʔkʼoʔkʼoc,siʔkʼóʔkʼoʔ,siʔkʼóʔkʼoʔ,,3,siʔkʼoʔkʼoʔ,siʔkʼoʔkʼoʔ,Reduplicating Verb,dripping water to erode depression
4948,siʔkʼu,siʔkʼu´,siʔkʼu´,,3,siʔkʼu,siʔkʼu,Adjective,cling to when wet
4949,*siʔlasiʔla,siʔlasíʔlaw,siʔlasíʔlaw,,3,siʔlasiʔlaw siʔlasilaʔ,siʔlasiʔlaw,Reduplicating Verb,used to liquid taste
4950,*siʔpʼanh,siʔpʼánʔ,siʔpʼánʔ,,3,siʔpʼanʔ,siʔpʼanʔ,Verb,suck something closed
4951,*siʔpʼosipʼotad,siʔpʼosípʼota·du,siʔpʼosípʼota·du,,3,siʔpʼosipʼota·du,siʔpʼosipʼota·du,,
4952,*siʔpʼoʔpʼoc,siʔpʼóʔpʼoʔ,siʔpʼóʔpʼoʔ,,3,siʔpʼoʔpʼoʔ,siʔpʼoʔpʼoʔ,Reduplicating Verb,drink up everything
4953,*siʔqʼac,siʔqʼáʔ,siʔqʼáʔ,,3,siʔqʼaʔ,siʔqʼaʔ,Verb,fit tightly by water
4954,*siʔsʼonh,siʔsʼónʔ,siʔsʼónʔ,,3,siʔsʼonʔ,siʔsʼonʔ,Verb,sharpen
4955,*siʔtʼel,siʔtʼélʔ,siʔtʼélʔ,,3,siʔtʼelʔ,siʔtʼelʔ,Verb,push down with water
4956,*siʔtʼoʔtʼo,siʔtʼóʔtʼow,siʔtʼóʔtʼow,,3,siʔtʼoʔtʼow,siʔtʼoʔtʼow,Reduplicating Verb,constrict with water
4957,*siʔtʼutʰu,siʔtʼutʰúw,siʔtʼutʰúw,,3,siʔtʼutʰuw,siʔtʼutʰuw,Verb,stick together by sucking
4958,*siʔtʼuʔtʼu,siʔtʼúʔtʼuw,siʔtʼúʔtʼuw,,3,siʔtʼuʔtʼuw,siʔtʼuʔtʼuw,Verb,injure severely by water
4959,*siʔṭʼe,siʔṭʼéw,siʔṭʼéw,,3,siʔṭʼew,siʔṭʼew,Verb,make mark by water dripping or colored liquid
4960,*siʔṭʼela·tad,siʔṭʼelá·tadu,siʔṭʼelá·tadu,,3,siʔṭʼela·tadu,siʔṭʼela·tadu,,
4961,*siʔṭʼelh,siʔṭʼélʔ,siʔṭʼélʔ,,3,siʔṭʼelʔ,siʔṭʼelʔ,Verb,part by water
4962,*siʔṭʼenṭʼele,siʔṭʼénṭʼelew,siʔṭʼénṭʼelew,,3,siʔṭʼenṭʼeleʔ,siʔṭʼenṭʼelew,Verb,flatten by sucking
4963,*siʔṭʼesiṭʼetad,siʔṭʼesíṭʼeta·du,siʔṭʼesíṭʼeta·du,,3,siʔṭʼesiṭʼeta·du,siʔṭʼesiṭʼeta·du,,
4964,*siʔṭʼeʔṭʼe,siʔṭʼéʔṭʼew,siʔṭʼéʔṭʼew,,3,siʔṭʼeʔṭʼew,siʔṭʼeʔṭʼew,Verb,suck dry
4965,siʔṭʼi,siʔṭʼi´,siʔṭʼi´,,3,siʔṭʼi,siʔṭʼi,Adjective,basket sinks
4966,siʔwe,siʔwe´,siʔwe´,,3,siʔwe,siʔwe,Adjective,soften ground
4967,*siʔwoʔwo,,siʔwóʔwow,,3,,siʔwoʔwow,Verb,stir up liquid
4968,*siʔya·q,siʔyaʔ´,siʔyaʔ´,,3,siʔyaʔ,siʔyaʔ,Verb,recognize flavor of liquid
4969,*siʔyosiyot,siʔyosíyoʔ,siʔyosíyoʔ,,3,siʔyosiyoʔ,siʔyosiyoʔ,,
